FIELD,MJD_U,year_U,MJD_F378,year_F378,MJD_F395,year_F395,MJD_F410,year_F410,MJD_F430,year_F430,MJD_G,year_G,MJD_F515,year_F515,MJD_R,year_R,MJD_F660,year_F660,MJD_I,year_I,MJD_F861,year_F861,MJD_Z,year_Z
MC0001,57730.098449074074,2016.9346952160495,57743.06967592592,2016.9701357265735,57728.164618055554,2016.929411524742,57728.16850694444,2016.9294221501214,57728.170648148145,2016.9294280004049,57728.146944444445,2016.929363236187,57728.17482638889,2016.929439416363,57727.14855324074,2016.926635391368,57730.11677083333,2016.934745275501,57728.15219907407,2016.9293775930985,57730.123125,2016.934762636612,57730.10915509259,2016.9347244674661
MC0002,58424.19222222222,2018.8361430745815,58424.20443287037,2018.836176528412,58424.21126157408,2018.8361952371893,58424.21428240741,2018.8362035134448,58424.21771990741,2018.8362129312532,58424.22457175926,2018.83623170345,58424.221342592595,2018.836222856418,58424.22922453703,2018.8362444507864,58424.243738425925,2018.8362842148656,58424.23027777778,2018.8362473363775,58424.25177083333,2018.8363062214612,58424.23467592592,2018.8362593860984
MC0003,57750.105787037035,2016.9893600738717,57735.185011574074,2016.948592927798,57735.190254629626,2016.9486072530865,57735.19138888889,2016.9486103521554,57735.19552083333,2016.9486216416212,57750.107303240744,2016.9893642165048,57735.19768518519,2016.9486275551508,57735.172534722224,2016.948558838039,57750.120162037034,2016.9893993498279,57735.17519675926,2016.948566111364,57750.12892361111,2016.989423288555,57750.114328703705,2016.9893834117588
MC0004,58460.078576388885,2018.9344618531202,57719.23138888889,2016.9050037947784,57719.2406712963,2016.9050291565472,57719.24556712963,2016.905042533141,57719.24668981481,2016.9050456005868,57719.22225694444,2016.9049788441105,57719.25085648148,2016.905056984922,57719.22388888889,2016.904983302975,58460.0934837963,2018.9345026953324,57719.226493055554,2016.9049904181845,58524.07009259259,2019.1097810755962,58524.06476851852,2019.1097664890917
MC0005,57718.24517361111,2016.9023092175166,57749.12873842593,2016.9866905421472,57749.136296296296,2016.9867111920664,57749.142858796295,2016.9867291223943,57749.143958333334,2016.9867321265938,57717.257199074076,2016.8996098335358,57749.14707175926,2016.986740633222,57718.25591435185,2016.902338563803,57718.26565972222,2016.902365190498,57718.25866898148,2016.9023460901133,57718.27443287037,2016.902389160848,57718.25976851852,2016.902349094313
MC0006,57720.24665509259,2016.9077777461546,57755.13427083333,2017.0031075913241,57755.13947916667,2017.0031218607305,57755.14162037037,2017.003127727042,57755.14375,2017.0031335616438,57755.11869212963,2017.0030649099442,57755.1490162037,2017.0031479895993,57755.12184027778,2017.0030735350076,57727.24932870371,2016.9269107341631,57755.12538194445,2017.003083238204,57728.253645833334,2016.9296547700364,57720.26123842593,2016.9078175913276
MC0007,57729.230671296296,2016.9323242385144,57747.24351851852,2016.9815396680833,57747.251076388886,2016.9815603180025,57747.255590277775,2016.9815726510321,57747.25969907407,2016.9815838772515,57722.255277777775,2016.913265786278,57747.262870370374,2016.9815925419955,57722.256898148145,2016.9132702135196,57722.268171296295,2016.9133010144708,57722.26033564815,2016.913279605596,57722.27695601852,2016.913325016444,57729.239328703705,2016.932347892633
MC0008,57719.26243055556,2016.9050886080752,57749.18356481481,2016.9868403410242,57749.19113425926,2016.9868610225662,57749.19563657408,2016.986873323973,57749.19976851852,2016.9868846134386,57717.29262731481,2016.8997066320078,57749.20396990741,2016.9868960926433,57717.294340277775,2016.8997113122343,57717.30856481481,2016.8997501770896,57719.27207175926,2016.905114950162,57719.291284722225,2016.9051674445961,57719.27508101852,2016.9051231721817
MC0009,57718.28349537037,2016.902413921777,57743.21849537037,2016.9705423370774,57743.2203125,2016.9705473019126,57743.22484953704,2016.9705596981887,57728.31637731481,2016.929826167527,57718.28804398148,2016.9024263496763,57728.31753472222,2016.929829329842,57718.29048611111,2016.9024330221614,57718.30842592593,2016.902482038049,57740.2615625,2016.962463285519,57718.312372685185,2016.9024928215442,57718.29513888889,2016.902445734669
MC0028,58454.17958333333,2018.9183002283105,58454.185752314814,2018.9183171296297,58454.19267361111,2018.9183360920852,58454.198125,2018.9183510273972,58454.20166666667,2018.9183607305936,58454.207141203704,2018.9183757293251,58454.202893518515,2018.9183640918316,58454.208969907406,2018.9183807394722,58454.22133101852,2018.9184146055302,58454.212858796294,2018.9183913939626,58454.23335648148,2018.918447552004,58454.21506944444,2018.9183974505327
MC0031,58411.28805555555,2018.800789193303,58411.29725694445,2018.8008144025875,58411.30111111111,2018.8008249619481,58411.30416666667,2018.8008333333332,58411.310162037036,2018.8008497590056,58411.31563657407,2018.8008647577371,58411.312569444446,2018.8008563546423,58411.317465277774,2018.8008697678843,58411.329872685186,2018.8009037607812,58411.32136574074,2018.800880454084,58411.33902777778,2018.8009288432268,58411.32474537037,2018.8008897133434
MC0037,58462.080775462964,2018.9399473300355,58462.08384259259,2018.9399557331303,58462.091944444444,2018.9399779299847,58462.09685185185,2018.9399913749367,58462.10030092593,2018.9400008244545,58462.10895833333,2018.940024543379,58462.106099537035,2018.9400167110605,58462.11179398148,2018.940032312278,58462.12633101852,2018.9400721397767,58462.11289351852,2018.9400353247083,58462.13300925926,2018.9400904363267,58462.11840277778,2018.9400504185692
MC0040,58424.255949074075,2018.836317668696,58424.268379629626,2018.8363517250127,58424.27326388889,2018.836365106545,58424.28055555555,2018.8363850837138,58424.28173611111,2018.8363883181125,58424.289456018516,2018.836409468544,58424.286516203705,2018.8364014142567,58424.291296296295,2018.8364145104008,58424.30755787037,2018.8364590626586,58424.29519675926,2018.8364251966007,58424.31303240741,2018.8364740613902,58424.299791666665,2018.8364377853882
SPLUS-b105,,,,,,,,,,,,,,,,,,,,,,,,
logs,,,,,,,,,,,,,,,,,,,,,,,,
